winner,loser,surface,actual_total,model_total,model_std,model_prob,error,abs_error
Pavlyuchenkova A.,Potapova A.,Hard,29,23.5,5.7,0.391,-5.5,5.5
Shnaider D.,Tomljanovic A.,Hard,22,24.3,5.8,0.638,2.3000000000000007,2.3000000000000007
Vekic D.,Dart H.,Hard,24,24.0,5.7,0.599,0.0,0.0
Badosa P.,Gibson T.,Hard,13,24.2,5.8,0.48200000000000004,11.2,11.2
Kasatkina D.,Wang Y.,Hard,14,24.3,5.7,0.5329999999999999,10.3,10.3
Raducanu E.,Anisimova A.,Hard,21,24.1,5.8,0.426,3.1000000000000014,3.1000000000000014
Swiatek I.,Sramkova R.,Hard,14,23.9,5.7,0.7759999999999999,9.899999999999999,9.899999999999999
Putintseva Y.,Zhang S.,Hard,15,23.9,5.8,0.435,8.899999999999999,8.899999999999999
Rybakina E.,Jovic I.,Hard,15,24.6,5.7,0.7340000000000001,9.600000000000001,9.600000000000001
Lys E.,Gracheva V.,Hard,27,24.0,5.6,0.599,-3.0,3.0
Cristian J.,Bronzetti L.,Hard,24,24.1,6.1,0.539,0.10000000000000142,0.10000000000000142
Svitolina E.,Dolehide C.,Hard,17,23.9,5.7,0.732,6.899999999999999,6.899999999999999
Kudermetova V.,Boulter K.,Hard,29,23.8,5.7,0.5820000000000001,-5.199999999999999,5.199999999999999
Paolini J.,Zarazua R.,Hard,17,24.2,5.7,0.643,7.199999999999999,7.199999999999999
Pavlyuchenkova A.,Siegemund L.,Hard,15,24.3,5.7,0.509,9.3,9.3
Vekic D.,Shnaider D.,Hard,38,24.3,5.6,0.389,-13.7,13.7
Sabalenka A.,Tauson C.,Hard,23,24.4,5.9,0.696,1.3999999999999986,1.3999999999999986
Badosa P.,Kostyuk M.,Hard,29,23.9,5.6,0.384,-5.100000000000001,5.100000000000001
Andreeva M.,Frech M.,Hard,23,23.4,5.8,0.765,0.3999999999999986,0.3999999999999986
Danilovic O.,Pegula J.,Hard,20,23.6,5.6,0.205,3.6000000000000014,3.6000000000000014
Navarro E.,Jabeur O.,Hard,29,23.9,5.9,0.575,-5.100000000000001,5.100000000000001
Swiatek I.,Raducanu E.,Hard,13,24.5,5.6,0.6629999999999999,11.5,11.5
Lys E.,Cristian J.,Hard,28,24.5,5.7,0.5660000000000001,-3.5,3.5
Kasatkina D.,Putintseva Y.,Hard,19,23.9,5.8,0.461,4.899999999999999,4.899999999999999
Rybakina E.,Yastremska D.,Hard,19,23.6,5.8,0.8170000000000001,4.600000000000001,4.600000000000001
Kudermetova V.,Haddad Maia B.,Hard,18,24.2,5.8,0.629,6.199999999999999,6.199999999999999
Svitolina E.,Paolini J.,Hard,24,24.2,5.8,0.49,0.1999999999999993,0.1999999999999993
Keys M.,Collins D.,Hard,20,23.1,6.0,0.682,3.1000000000000014,3.1000000000000014
Sabalenka A.,Andreeva M.,Hard,15,24.6,5.7,0.58,9.600000000000001,9.600000000000001
Gauff C.,Bencic B.,Hard,27,23.8,5.7,0.49200000000000005,-3.1999999999999993,3.1999999999999993
Pavlyuchenkova A.,Vekic D.,Hard,19,24.2,5.7,0.47700000000000004,5.199999999999999,5.199999999999999
Badosa P.,Danilovic O.,Hard,20,24.4,6.0,0.54,4.399999999999999,4.399999999999999
Svitolina E.,Kudermetova V.,Hard,17,24.5,5.8,0.634,7.5,7.5
Keys M.,Rybakina E.,Hard,25,24.2,5.6,0.259,-0.8000000000000007,0.8000000000000007
Navarro E.,Kasatkina D.,Hard,34,23.6,5.9,0.638,-10.399999999999999,10.399999999999999
Swiatek I.,Lys E.,Hard,13,23.8,5.8,0.7340000000000001,10.8,10.8
Badosa P.,Gauff C.,Hard,22,24.1,5.9,0.41700000000000004,2.1000000000000014,2.1000000000000014
Sabalenka A.,Pavlyuchenkova A.,Hard,25,23.2,5.9,0.821,-1.8000000000000007,1.8000000000000007
Keys M.,Svitolina E.,Hard,28,24.4,5.9,0.401,-3.6000000000000014,3.6000000000000014
Swiatek I.,Navarro E.,Hard,15,24.0,5.8,0.6559999999999999,9.0,9.0
Sabalenka A.,Badosa P.,Hard,18,23.8,5.9,0.7559999999999999,5.800000000000001,5.800000000000001
Keys M.,Swiatek I.,Hard,32,23.8,5.7,0.297,-8.2,8.2
Keys M.,Sabalenka A.,Hard,30,24.5,5.7,0.262,-5.5,5.5
Tomova V.,Bouzas Maneiro J.,Hard,23,24.2,5.9,0.42100000000000004,1.1999999999999993,1.1999999999999993
Cirstea S.,Rus A.,Hard,29,24.0,5.9,0.757,-5.0,5.0
Ruzic A.,Sherif M.,Hard,19,23.5,5.8,0.767,4.5,4.5
Tauson C.,Kalinina A.,Hard,18,23.4,5.8,0.6679999999999999,5.399999999999999,5.399999999999999
Sorribes Tormo S.,Sun L.,Hard,18,23.9,5.9,0.42,5.899999999999999,5.899999999999999
Sramkova R.,Cocciaretto E.,Hard,24,24.1,5.7,0.46799999999999997,0.10000000000000142,0.10000000000000142
Potapova A.,Grabher J.,Hard,16,22.6,5.8,0.823,6.600000000000001,6.600000000000001
Sasnovich A.,Zakharova A.,Hard,22,24.0,5.7,0.597,2.0,2.0
Martic P.,Lys E.,Hard,31,24.3,5.6,0.364,-6.699999999999999,6.699999999999999
Yastremska D.,Bronzetti L.,Hard,25,24.2,5.7,0.58,-0.8000000000000007,0.8000000000000007
Avanesyan E.,Siniakova K.,Hard,17,23.7,5.7,0.36,6.699999999999999,6.699999999999999
Blinkova A.,Kraus S.,Hard,21,24.0,5.8,0.653,3.0,3.0
Tauson C.,Cirstea S.,Hard,18,24.4,5.7,0.434,6.399999999999999,6.399999999999999
Sakkari M.,Tomova V.,Hard,17,23.9,5.7,0.6579999999999999,6.899999999999999,6.899999999999999
Potapova A.,Sramkova R.,Hard,23,24.5,5.6,0.604,1.5,1.5
Yastremska D.,Ruzic A.,Hard,19,24.3,5.8,0.488,5.300000000000001,5.300000000000001
Martic P.,Avanesyan E.,Hard,32,24.4,5.9,0.439,-7.600000000000001,7.600000000000001
Blinkova A.,Svitolina E.,Hard,20,23.6,5.8,0.231,3.6000000000000014,3.6000000000000014
Muchova K.,Sorribes Tormo S.,Hard,17,24.2,5.7,0.7040000000000001,7.199999999999999,7.199999999999999
Alexandrova E.,Sasnovich A.,Hard,17,24.1,5.9,0.61,7.100000000000001,7.100000000000001
Yastremska D.,Sakkari M.,Hard,18,24.2,5.9,0.457,6.199999999999999,6.199999999999999
Tauson C.,Blinkova A.,Hard,19,23.7,5.6,0.7020000000000001,4.699999999999999,4.699999999999999
Muchova K.,Potapova A.,Hard,27,24.0,5.9,0.606,-3.0,3.0
Alexandrova E.,Martic P.,Hard,25,24.2,5.7,0.728,-0.8000000000000007,0.8000000000000007
Yastremska D.,Tauson C.,Hard,17,24.3,5.7,0.395,7.300000000000001,7.300000000000001
Alexandrova E.,Muchova K.,Hard,16,24.6,5.5,0.439,8.600000000000001,8.600000000000001
Alexandrova E.,Yastremska D.,Hard,29,24.6,5.9,0.633,-4.399999999999999,4.399999999999999
Li A.,Saville D.,Hard,16,24.2,5.8,0.6609999999999999,8.2,8.2
Joint M.,Parks A.,Hard,29,24.1,5.8,0.609,-4.899999999999999,4.899999999999999
Bucsa C.,Raducanu E.,Hard,36,24.5,5.9,0.41,-11.5,11.5
Kalinskaya A.,Dolehide C.,Hard,28,24.2,5.6,0.604,-3.8000000000000007,3.8000000000000007
Waltert S.,Tomljanovic A.,Hard,17,24.1,5.6,0.483,7.100000000000001,7.100000000000001
Birrell K.,Kudermetova P.,Hard,17,23.9,5.7,0.508,6.899999999999999,6.899999999999999
Baptiste H.,Zarazua R.,Hard,23,24.7,5.8,0.445,1.6999999999999993,1.6999999999999993
Gadecki O.,Uchijima M.,Hard,28,24.2,5.7,0.518,-3.8000000000000007,3.8000000000000007
Teichmann J.,Dart H.,Hard,16,23.9,5.7,0.522,7.899999999999999,7.899999999999999
Mertens E.,Townsend T.,Hard,13,24.9,5.8,0.547,11.899999999999999,11.899999999999999
Maria T.,Starodubtseva Y.,Hard,23,24.0,5.7,0.47600000000000003,1.0,1.0
Sawangkaew M.,Bucsa C.,Hard,20,24.2,5.7,0.473,4.199999999999999,4.199999999999999
Kalinskaya A.,Waltert S.,Hard,21,24.2,5.7,0.626,3.1999999999999993,3.1999999999999993
Li A.,Timofeeva M.,Hard,17,24.2,5.9,0.584,7.199999999999999,7.199999999999999
Birrell K.,Baptiste H.,Hard,34,24.7,5.6,0.462,-9.3,9.3
Mertens E.,Maria T.,Hard,29,24.6,5.8,0.6829999999999999,-4.399999999999999,4.399999999999999
Teichmann J.,Gadecki O.,Hard,20,24.2,5.7,0.539,4.199999999999999,4.199999999999999
Li A.,Birrell K.,Hard,26,23.3,5.6,0.624,-2.6999999999999993,2.6999999999999993
Kalinskaya A.,Sawangkaew M.,Hard,25,24.0,5.5,0.546,-1.0,1.0
Mertens E.,Li A.,Hard,17,24.1,5.6,0.5579999999999999,7.100000000000001,7.100000000000001
Krueger A.,Kessler M.,Hard,31,23.8,5.9,0.31,-7.199999999999999,7.199999999999999
Volynets K.,Kartal S.,Hard,29,24.7,5.7,0.35600000000000004,-4.300000000000001,4.300000000000001
Sun L.,Garcia C.,Hard,16,24.6,5.9,0.506,8.600000000000001,8.600000000000001
Kudermetova V.,Samsonova L.,Hard,32,24.8,5.9,0.529,-7.199999999999999,7.199999999999999
Noskova L.,Frech M.,Hard,15,24.2,5.7,0.5820000000000001,9.2,9.2
Linette M.,Zarazua R.,Hard,23,24.4,5.5,0.49200000000000005,1.3999999999999986,1.3999999999999986
Bencic B.,Sramkova R.,Hard,24,24.7,5.9,0.72,0.6999999999999993,0.6999999999999993
Pavlyuchenkova A.,Kenin S.,Hard,16,24.5,5.8,0.518,8.5,8.5
Vondrousova M.,Raducanu E.,Hard,19,23.9,5.7,0.485,4.899999999999999,4.899999999999999
Jabeur O.,Ostapenko J.,Hard,25,23.6,5.7,0.62,-1.3999999999999986,1.3999999999999986
Bencic B.,Kudermetova V.,Hard,12,24.4,5.8,0.6,12.399999999999999,12.399999999999999
Vondrousova M.,Putintseva Y.,Hard,17,24.3,5.6,0.599,7.300000000000001,7.300000000000001
Rybakina E.,Volynets K.,Hard,28,24.2,5.7,0.7759999999999999,-3.8000000000000007,3.8000000000000007
Krueger A.,Kasatkina D.,Hard,29,24.8,5.9,0.385,-4.199999999999999,4.199999999999999
Noskova L.,Badosa P.,Hard,17,24.2,5.6,0.561,7.199999999999999,7.199999999999999
Bencic B.,Vondrousova M.,Hard,21,24.7,6.1,0.557,3.6999999999999993,3.6999999999999993
Rybakina E.,Jabeur O.,Hard,31,24.7,5.7,0.745,-6.300000000000001,6.300000000000001
Noskova L.,Linette M.,Hard,19,24.9,5.8,0.591,5.899999999999999,5.899999999999999
Krueger A.,Noskova L.,Hard,23,24.0,5.5,0.309,1.0,1.0
Bencic B.,Rybakina E.,Hard,28,24.6,5.9,0.336,-3.3999999999999986,3.3999999999999986
Bencic B.,Krueger A.,Hard,24,23.4,5.6,0.767,-0.6000000000000014,0.6000000000000014
Tomova V.,Sherif M.,Hard,26,24.4,5.9,0.621,-1.6000000000000014,1.6000000000000014
Lamens S.,Bondar A.,Hard,26,23.7,5.7,0.38799999999999996,-2.3000000000000007,2.3000000000000007
Dolehide C.,Snigur D.,Hard,30,23.6,5.6,0.382,-6.399999999999999,6.399999999999999
Stakusic M.,Cirstea S.,Hard,24,23.5,5.8,0.26,-0.5,0.5
Potapova A.,Grabher J.,Hard,16,22.6,5.8,0.8109999999999999,6.600000000000001,6.600000000000001
Golubic V.,Rus A.,Hard,35,24.0,5.8,0.6609999999999999,-11.0,11.0
Danilovic O.,Parks A.,Hard,18,23.7,5.9,0.607,5.699999999999999,5.699999999999999
Sasnovich A.,Bouzas Maneiro J.,Hard,35,24.1,5.9,0.585,-10.899999999999999,10.899999999999999
