date,tournament,surface,round,winner,loser,b365_winner_odds,b365_loser_odds,model_winner_prob,model_winner_odds,model_loser_odds,model_pick,model_pick_prob,model_pick_odds,b365_pick_odds,clv_pick,model_correct,pick_won
2025-01-07,Adelaide International,Hard,1st Round,Jabeur O.,Collins D.,1.73,2.1,0.634,1.5772870662460567,2.73224043715847,Jabeur O.,0.634,1.5772870662460567,1.73,5.596531791907511,True,True
2025-01-08,Adelaide International,Hard,2nd Round,Navarro E.,Alexandrova E.,1.57,2.38,0.474,2.109704641350211,1.9011406844106462,Alexandrova E.,0.526,1.9011406844106462,2.38,10.583193277310926,False,False
2025-01-08,Adelaide International,Hard,2nd Round,Pegula J.,Sakkari M.,1.62,2.3,0.7559999999999999,1.322751322751323,4.098360655737705,Pegula J.,0.7559999999999999,1.322751322751323,1.62,13.871604938271599,True,True
2025-01-08,Adelaide International,Hard,2nd Round,Samsonova L.,Bencic B.,2.63,1.5,0.348,2.873563218390805,1.5337423312883436,Bencic B.,0.652,1.5337423312883436,1.5,-1.4666666666666606,False,False
2025-01-08,Adelaide International,Hard,2nd Round,Krueger A.,Badosa P.,2.75,1.44,0.33899999999999997,2.9498525073746316,1.5128593040847202,Badosa P.,0.6609999999999999,1.5128593040847202,1.44,-3.34444444444445,False,False
2025-01-08,Adelaide International,Hard,2nd Round,Keys M.,Ostapenko J.,1.29,3.75,0.662,1.510574018126888,2.958579881656805,Keys M.,0.662,1.510574018126888,1.29,-11.31937984496123,True,True
2025-01-08,Adelaide International,Hard,2nd Round,Putintseva Y.,Jabeur O.,1.73,2.1,0.483,2.070393374741201,1.9342359767891681,Jabeur O.,0.517,1.9342359767891681,2.1,4.080952380952385,False,False
2025-01-08,Adelaide International,Hard,2nd Round,Kasatkina D.,Jones E.,1.17,5.0,0.457,2.1881838074398248,1.841620626151013,Jones E.,0.5429999999999999,1.841620626151013,5.0,34.29999999999999,False,False
2025-01-09,Adelaide International,Hard,Quarterfinals,Samsonova L.,Navarro E.,2.2,1.67,0.441,2.2675736961451247,1.7889087656529519,Navarro E.,0.5589999999999999,1.7889087656529519,1.67,-3.9802395209580954,False,False
2025-01-09,Adelaide International,Hard,Quarterfinals,Keys M.,Kasatkina D.,1.44,2.75,0.6659999999999999,1.5015015015015016,2.9940119760479047,Keys M.,0.6659999999999999,1.5015015015015016,1.44,-2.8444444444444494,True,True
2025-01-09,Adelaide International,Hard,Quarterfinals,Putintseva Y.,Shnaider D.,1.62,2.3,0.47,2.127659574468085,1.8867924528301885,Shnaider D.,0.53,1.8867924528301885,2.3,9.521739130434781,False,False
2025-01-10,Adelaide International,Hard,Semifinals,Pegula J.,Putintseva Y.,1.5,2.63,0.741,1.349527665317139,3.861003861003861,Pegula J.,0.741,1.349527665317139,1.5,7.433333333333336,True,True
2025-01-11,Adelaide International,Hard,The Final,Keys M.,Pegula J.,1.8,2.0,0.31,3.2258064516129035,1.4492753623188408,Pegula J.,0.69,1.4492753623188408,2.0,18.999999999999993,False,False
2025-01-06,Hobart International,Hard,1st Round,Kessler M.,Sramkova R.,1.8,2.0,0.636,1.572327044025157,2.7472527472527473,Kessler M.,0.636,1.572327044025157,1.8,8.044444444444443,True,True
2025-01-06,Hobart International,Hard,1st Round,Bondar A.,Sherif M.,1.91,1.91,0.7140000000000001,1.4005602240896358,3.4965034965034962,Bondar A.,0.7140000000000001,1.4005602240896358,1.91,19.04397905759163,True,True
2025-01-06,Hobart International,Hard,1st Round,Minnen G.,Tomova V.,1.53,2.5,0.624,1.6025641025641026,2.6595744680851063,Minnen G.,0.624,1.6025641025641026,1.53,-2.9594771241830076,True,True
2025-01-06,Hobart International,Hard,1st Round,Kudermetova V.,Cocciaretto E.,1.62,2.3,0.591,1.6920473773265652,2.444987775061125,Kudermetova V.,0.591,1.6920473773265652,1.62,-2.6283950617283947,True,True
2025-01-07,Hobart International,Hard,1st Round,Blinkova A.,Pera B.,1.91,1.91,0.502,1.9920318725099602,2.0080321285140563,Blinkova A.,0.502,1.9920318725099602,1.91,-2.1560209424083765,True,True
2025-01-07,Hobart International,Hard,1st Round,Yastremska D.,Volynets K.,2.2,1.67,0.474,2.109704641350211,1.9011406844106462,Volynets K.,0.526,1.9011406844106462,1.67,-7.280239520958087,False,False
2025-01-07,Hobart International,Hard,1st Round,Kenin S.,Sun L.,1.5,2.63,0.475,2.1052631578947367,1.9047619047619047,Sun L.,0.525,1.9047619047619047,2.63,14.477186311787072,False,False
2025-01-07,Hobart International,Hard,1st Round,Joint M.,Danilovic O.,2.0,1.8,0.483,2.070393374741201,1.9342359767891681,Danilovic O.,0.517,1.9342359767891681,1.8,-3.8555555555555565,False,False
